longitude,latitude,terrain
-86.9912829109382,40.47235656036791,Grass
-86.99128353775654,40.472356962738225,Grass
-86.99128415221418,40.47235739615926,Grass
-86.99128475094622,40.472357843621296,Grass
-86.99128531695865,40.47235827954688,Grass
-86.99128588307633,40.47235871739735,Grass
-86.99128645132049,40.4723591489302,Grass
-86.99128703475176,40.47235957460232,Grass
-86.99128761884349,40.47235997642681,Grass
-86.99128821514765,40.472360359079005,Grass
-86.9912888352308,40.472360723747165,Grass
-86.99128944529944,40.4723610506136,Grass
-86.99129006278835,40.472361349915175,Grass
-86.99129070704046,40.47236162895821,Grass
-86.99129136229902,40.47236187859232,Grass
-86.99129202876509,40.47236209687868,Grass
-86.99129271878557,40.47236228690858,Grass
-86.99129340499134,40.47236244128035,Grass
-86.99129408443771,40.47236256008436,Grass
-86.99129478144945,40.4723626476202,Grass
-86.99129549588811,40.47236270300514,Grass
-86.99129620302786,40.47236272267732,Grass
-86.99129690541211,40.47236270613946,Grass
-86.9912976166461,40.47236265289591,Grass
-86.99129833165904,40.47236256244014,Grass
-86.99129903201231,40.47236244457149,Grass
-86.99129972565595,40.47236229828049,Grass
-86.99130041493413,40.47236212375484,Grass
-86.99130108411043,40.472361923343264,Grass
-86.99130173634143,40.47236169397308,Grass
-86.99130233278554,40.47236145177198,Grass
-86.99130290949051,40.47236118330303,Grass
-86.99130346428842,40.47236088702786,Grass
-86.99130398602922,40.47236056638479,Grass
-86.99130447659324,40.472360223633615,Grass
-86.99130493101447,40.47235985200577,Grass
-86.99130535044645,40.47235944410441,Grass
-86.99130572848544,40.47235900281872,Grass
-86.99130607914253,40.47235854328382,Grass
-86.99130640545465,40.472358063330695,Grass
-86.99130669954894,40.47235757360176,Grass
-86.99130695944224,40.47235707853613,Grass
-86.99130717185142,40.472356594199795,Grass
-86.99130732892006,40.47235609486271,Grass
-86.99130742864584,40.472355578771214,Grass
-86.99130747129757,40.47235505171244,Grass
-86.99130746228305,40.47235450890088,Grass
-86.99130741115097,40.472353967813305,Grass
-86.99130732289842,40.47235342282329,Grass
-86.99130720014254,40.472352887327325,Grass
-86.99130704187641,40.47235235193848,Grass
-86.99130684469051,40.47235180935223,Grass
-86.99130661556225,40.47235128026561,Grass
-86.99130635973634,40.47235077071445,Grass
-86.99130607375133,40.47235027619688,Grass
-86.99130575338842,40.472349789829295,Grass
-86.99130538944473,40.47234930474033,Grass
-86.9913050054335,40.47234884860188,Grass
-86.99130458747021,40.472348410808976,Grass
-86.99130413991054,40.47234800593205,Grass
-86.99130365278158,40.472347620147744,Grass
-86.99130312952734,40.47234725656787,Grass
-86.99130257755486,40.47234692033254,Grass
-86.991302001139,40.47234661035442,Grass
-86.99130139701815,40.47234632395495,Grass
-86.99130077563962,40.47234606575102,Grass
-86.99130014256214,40.47234583881089,Grass
-86.99129948399569,40.47234563884472,Grass
-86.99129879509498,40.4723454636961,Grass
-86.99129811802273,40.47234532259737,Grass
-86.99129742374812,40.47234520903887,Grass
-86.99129674678223,40.472345127666,Grass
-86.99129606613843,40.47234508777667,Grass
-86.99129536855827,40.47234509453533,Grass
-86.99129466488678,40.4723451511236,Grass
-86.99129393946393,40.47234525180636,Grass
-86.99129320851621,40.47234538676709,Grass
-86.99129249841225,40.472345547189846,Grass
-86.99129178212979,40.47234573826932,Grass
-86.99129107922225,40.47234595486263,Grass
-86.99129039345532,40.472346194430266,Grass
-86.99128973211128,40.472346453982205,Grass
-86.99128908763932,40.472346736673536,Grass
-86.99128847065363,40.47234703809566,Grass
-86.99128787855336,40.472347358113645,Grass
-86.99128730284738,40.47234769874346,Grass
-86.99128673852017,40.47234805789353,Grass
-86.9912861681806,40.472348440994075,Grass
-86.991285580576,40.47234884290328,Grass
-86.99128496981548,40.47234925332848,Grass
-86.9912843213727,40.472349669151114,Grass
-86.991283634321,40.47235007924304,Grass
-86.99128291888634,40.472350473988186,Grass
-86.9912821738644,40.47235084878821,Grass
-86.99128140861897,40.47235119318656,Grass
-86.99128062267668,40.472351503672655,Grass
-86.99127983461844,40.47235177258969,Grass
-86.9912790408198,40.472352000944795,Grass
-86.9912782434156,40.47235218932545,Grass
-86.9912774607987,40.47235233793205,Grass
-86.99127668580421,40.472352451396894,Grass
-86.99127591027148,40.472352533178,Grass
-86.99127508354533,40.472352590775,Grass
-86.99127424669808,40.47235263138161,Grass
-86.9912734218718,40.47235265839053,Grass
-86.9912726030193,40.47235267766131,Grass
-86.99127179880419,40.47235269160904,Grass
-86.99127099545609,40.472352701000126,Grass
-86.99127019177658,40.4723527080866,Grass
-86.99126937644851,40.47235271285818,Grass
-86.99126855995803,40.472352714381245,Grass
-86.99126774763289,40.47235271350065,Grass
-86.99126693529796,40.472352711374405,Grass
-86.99126609050043,40.47235270673611,Grass
-86.99126524184416,40.472352700934806,Grass
-86.99126440569562,40.47235269284209,Grass
-86.99126354937636,40.472352681239606,Grass
-86.99126270478631,40.472352664127385,Grass
-86.99126185497475,40.4723526433151,Grass
-86.99126101367726,40.47235263231799,Grass
-86.99126017614785,40.47235263458744,Grass
-86.99125935964382,40.47235264758517,Grass
-86.991258554484,40.47235266785758,Grass
-86.99125774136705,40.472352692034725,Grass
-86.99125695454849,40.472352716508695,Grass
-86.99125615583041,40.472352745139915,Grass
-86.9912553511638,40.47235278015087,Grass
-86.99125455104013,40.47235282075788,Grass
-86.99125376092718,40.47235287239467,Grass
-86.99125299113604,40.47235293894651,Grass
-86.99125221149276,40.4723530270898,Grass
-86.9912514241191,40.47235314257143,Grass
-86.99125063126036,40.472353289453,Grass
-86.99124984450675,40.47235347066815,Grass
-86.99124907586938,40.47235368475291,Grass
-86.99124834160023,40.47235392699893,Grass
-86.99124764673662,40.47235419438155,Grass
-86.99124698573527,40.47235448717304,Grass
-86.99124634473218,40.47235480609264,Road
-86.99124571815827,40.4723551537927,Road
-86.99124511681828,40.47235552016942,Road
-86.99124453000954,40.47235590302244,Road
-86.99124397626329,40.47235628108399,Road
-86.99124342801755,40.47235666490157,Road
-86.99124285882142,40.47235706394965,Road
-86.99124227328832,40.47235746352152,Road
-86.9912416879236,40.472357844913546,Road
-86.99124108981934,40.4723582101683,Road
-86.99124048420718,40.47235854981058,Road
-86.99123986839945,40.47235886279142,Road
-86.99123922933661,40.47235915226466,Road
-86.99123856653219,40.47235942057241,Road
-86.99123789008969,40.47235966300614,Road
-86.99123721303869,40.4723598721233,Road
-86.99123652467571,40.47236005116188,Road
-86.99123583128193,40.47236019523656,Road
-86.99123513876819,40.4723603016954,Road
-86.99123446231648,40.4723603690784,Road
-86.99123380304422,40.47236039817464,Road
-86.9912331259786,40.47236039235685,Road
-86.99123245603566,40.47236035873837,Road
-86.99123179919141,40.47236029061623,Road
-86.99123116551904,40.47236018573397,Road
-86.99123053770053,40.472360040666096,Road
-86.99122991737326,40.47235985474854,Road
-86.99122930766654,40.472359628816406,Road
-86.9912287093477,40.47235935992807,Road
-86.99122812388265,40.47235905720722,Road
-86.99122757459337,40.47235873514135,Road
-86.99122704886838,40.472358391134414,Road
-86.9912265387184,40.47235801987313,Road
-86.99122606650428,40.472357637830335,Road
-86.99122562901125,40.472357235988696,Road
-86.99122521868291,40.47235680671651,Road
-86.99122485071548,40.47235637024724,Road
-86.99122450913427,40.47235591110996,Road
-86.99122418966637,40.472355424629306,Road
-86.99122389826138,40.47235491825778,Road
-86.99122364548816,40.472354402241606,Road
-86.99122342929863,40.472353877996,Road
-86.99122324154368,40.47235332667253,Road
-86.99122309151902,40.47235276893005,Road
-86.99122298147246,40.47235220896805,Road
-86.99122291517233,40.47235163974898,Road
-86.99122289145215,40.47235108996396,Road
-86.99122290792636,40.472350543399,Road
-86.99122296636645,40.47234999805165,Road
-86.99122307396023,40.472349452666016,Road
-86.99122322409438,40.47234892267001,Road
-86.99122340903656,40.47234841669279,Road
-86.9912236391646,40.47234791187321,Road
-86.9912239062438,40.47234742487797,Road
-86.99122421781665,40.472346948790914,Road
-86.99122457886152,40.47234647723176,Road
-86.99122498874736,40.47234601286229,Road
-86.99122543362881,40.47234556895721,Road
-86.991225907891,40.47234515199435,Road
-86.99122641784963,40.47234475417977,Road
-86.99122696673795,40.47234436977602,Road
-86.99122753055065,40.47234401663204,Road
-86.99122812673401,40.47234368631066,Road
-86.99122874750604,40.47234338576717,Road
-86.99122937203597,40.47234312167453,Road
-86.99123001915329,40.47234288525756,Road
-86.99123069731009,40.4723426808626,Road
-86.99123138595839,40.47234250958128,Road
-86.99123207187475,40.472342374901686,Road
-86.99123274732878,40.472342277066595,Road
-86.99123346085862,40.47234221127922,Road
-86.99123414522244,40.472342179477344,Road
-86.99123483317261,40.4723421793372,Road
-86.99123554298791,40.47234221525225,Road
-86.9912362652282,40.472342287339735,Road
-86.99123699514541,40.4723423956602,Road
-86.99123771256123,40.47234253708937,Road
-86.99123842725682,40.47234271609141,Road
-86.99123912931155,40.472342930681606,Road
-86.99123982541937,40.47234318140341,Road
-86.99124049815782,40.47234346656394,Road
-86.99124114598892,40.47234379210165,Road
-86.99124176810632,40.472344149318566,Road
-86.99124235707274,40.4723445205494,Road
-86.99124294166161,40.47234491644059,Road
-86.99124353056159,40.47234531557701,Road
-86.99124411708802,40.47234570633607,Road
-86.99124473993741,40.47234611158181,Road
-86.9912454120858,40.47234653019766,Road
-86.99124613822147,40.47234695370323,Road
-86.99124689291327,40.47234736140375,Grass
-86.99124766366448,40.472347741106994,Grass
